order_id,order_date,status,customer_id,first_name,last_name,email,signup_date,region,postal_code,product_id,product_name,category,quantity,unit_price,item_total,product_cost,shipping_alloc,profit,shipping_method,shipping_cost,discount_pct,order_items_total,order_total,total_refund_amount,return_count,return_reasons,shipping_cost_order,order_items_total_order,region_cust,category_prod,price,cost,weight_kg
O300014,2024-05-09,Completed,C102230,Kendall,Martinez,user2230@example.com,2023-07-06,Midwest,65211,P2094,Product 94,Beauty,1,13.11,13.11,8.83,4.47,-0.19,Standard,4.47,0,13.11,17.58,0,0,,4.47,13.11,Midwest,Beauty,13.11,8.83,4.12
O300015,2024-07-14,Completed,C100051,Sam,Williams,user51@example.com,2024-01-11,South,76302,P2114,Product 114,Apparel,3,63.23,189.69,97.59,7.37,84.73,Standard,7.37,0,189.69,197.06,0,0,,7.37,189.69,South,Apparel,63.23,32.53,0.67
O300016,2023-02-01,Completed,C100681,Hayden,Jones,user681@example.com,2024-04-14,Northeast,56865,P2195,Product 195,Beauty,1,13.68,13.68,7.08,2.846255991,3.75,Express,11.72,0,56.33,68.05,0,0,,11.72,56.33,Northeast,Beauty,13.68,7.08,1.77
O300016,2023-02-01,Completed,C100681,Hayden,Jones,user681@example.com,2024-04-14,Northeast,56865,P2052,Product 52,Toys,1,42.65,42.65,32.37,8.873744009,1.41,Express,11.72,0,56.33,68.05,0,0,,11.72,56.33,Northeast,Toys,42.65,32.37,2.15
O300017,2023-01-03,Completed,C102455,Chris,Martinez,user2455@example.com,2024-11-11,Northeast,35147,P2095,Product 95,Apparel,1,14.93,14.93,9.28,0.385441033,5.26,Standard,3.96,0,153.39,157.35,0,0,,3.96,153.39,Northeast,Apparel,14.93,9.28,1.88
O300017,2023-01-03,Completed,C102455,Chris,Martinez,user2455@example.com,2024-11-11,Northeast,35147,P2029,Product 29,Home,2,69.23,138.46,86.62,3.574558967,48.27,Standard,3.96,0,153.39,157.35,0,0,,3.96,153.39,Northeast,Home,69.23,43.31,1.4
O300018,2024-06-12,Completed,C102057,Avery,Brown,user2057@example.com,2024-07-21,Northeast,54935,P2000,Product 0,Apparel,1,36.11,36.11,18.04,12.04,6.03,Express,12.04,0,36.11,48.15,0,0,,12.04,36.11,Northeast,Apparel,36.11,18.04,0.77
O300019,2024-07-28,Completed,C100466,Alex,Williams,user466@example.com,2023-10-30,South,44307,P2186,Product 186,Beauty,1,70.03,70.03,51.41,6.27,12.35,Standard,6.27,0,70.03,76.3,0,0,,6.27,70.03,South,Beauty,70.03,51.41,1.71
O300020,2024-08-11,Completed,C104390,Drew,Williams,user4390@example.com,2023-12-16,Southwest,38780,P2057,Product 57,Electronics,1,15.12,15.12,11.61,10.79,-6.19,Express,10.79,3.66,15.12,25.91,0,0,,10.79,15.12,Southwest,Electronics,15.69,11.61,1.53
O300021,2024-09-12,Completed,C102308,Casey,Miller,user2308@example.com,2024-10-09,Midwest,30523,P2192,Product 192,Toys,1,12.68,12.68,9.69,4.76,-1.77,Standard,4.76,0,12.68,17.44,0,0,,4.76,12.68,Midwest,Toys,12.68,9.69,1.91
O300022,2024-04-10,Completed,C100156,Jamie,Lopez,user156@example.com,2024-09-21,West,55733,P2105,Product 105,Toys,1,70.62,70.62,55.74,5.54,9.34,Standard,5.54,0,70.62,76.16,0,0,,5.54,70.62,West,Toys,70.62,55.74,1.12
O300023,2023-09-24,Returned,C103527,Kendall,Hernandez,user3527@example.com,2023-12-29,Midwest,78398,P2055,Product 55,Home,1,76.8,76.8,31.94,12.8,32.06,Express,12.8,0,76.8,89.6,0,0,,12.8,76.8,Midwest,Home,76.8,31.94,2.34
O300024,2023-09-17,Completed,C103605,Avery,Jones,user3605@example.com,2023-03-21,Northeast,99344,P2084,Product 84,Apparel,1,10.38,10.38,6.75,0.467297546,3.16,Standard,3.43,0,76.19,79.62,0,0,,3.43,76.19,Northeast,Apparel,10.38,6.75,3.53
O300024,2023-09-17,Completed,C103605,Avery,Jones,user3605@example.com,2023-03-21,Northeast,99344,P2188,Product 188,Beauty,1,65.81,65.81,46.49,2.962702454,16.36,Standard,3.43,0,76.19,79.62,0,0,,3.43,76.19,Northeast,Beauty,65.81,46.49,2.97
O300025,2024-03-11,Completed,C103499,Hayden,Rodriguez,user3499@example.com,2024-05-28,Midwest,92392,P2113,Product 113,Sports,2,73.87,147.74,78.4,4.84,64.5,Standard,4.84,0,147.74,152.58,0,0,,4.84,147.74,Midwest,Sports,73.87,39.2,1.19
O300026,2024-01-17,Completed,C101454,Casey,Gonzalez,user1454@example.com,2024-03-05,Midwest,57940,P2078,Product 78,Apparel,1,100.33,100.33,74.17,5.06,21.1,Standard,5.06,0,100.33,105.39,0,0,,5.06,100.33,Midwest,Apparel,100.33,74.17,1.92
O300027,2023-07-03,Completed,C101856,Chris,Rodriguez,user1856@example.com,2024-12-17,West,56623,P2149,Product 149,Electronics,1,29.09,29.09,18.39,7.530628858,3.17,Express,13.42,0,51.84,65.26,0,0,,13.42,51.84,West,Electronics,29.09,18.39,3.77
O300027,2023-07-03,Completed,C101856,Chris,Rodriguez,user1856@example.com,2024-12-17,West,56623,P2093,Product 93,Electronics,1,22.75,22.75,15.01,5.889371142,1.85,Express,13.42,0,51.84,65.26,0,0,,13.42,51.84,West,Electronics,22.75,15.01,1.92
O300028,2023-08-31,Completed,C101641,Taylor,Rodriguez,user1641@example.com,2024-05-19,South,60955,P2155,Product 155,Electronics,1,87.74,87.74,54.97,10.05,22.72,Express,10.05,0,87.74,97.79,0,0,,10.05,87.74,South,Electronics,87.74,54.97,3.46
O300029,2024-03-28,Completed,C101707,Drew,Rodriguez,user1707@example.com,2023-07-09,Northeast,17583,P2151,Product 151,Beauty,1,78.5,78.5,57.32,1.884887006,19.3,Standard,6.46,0,269.04,275.5,0,0,,6.46,269.04,Northeast,Beauty,78.5,57.32,2.34
O300029,2024-03-28,Completed,C101707,Drew,Rodriguez,user1707@example.com,2023-07-09,Northeast,17583,P2082,Product 82,Sports,1,190.54,190.54,131.53,4.575112994,54.43,Standard,6.46,0,269.04,275.5,0,0,,6.46,269.04,Northeast,Sports,190.54,131.53,4.05
O300030,2023-02-26,Completed,C104418,Robin,Rodriguez,user4418@example.com,2024-01-13,Southwest,17071,P2144,Product 144,Electronics,1,276.76,276.76,112.27,7.55,133.4,Standard,7.55,0,276.76,284.31,0,0,,7.55,276.76,Southwest,Electronics,276.76,112.27,3.09
O300031,2024-05-05,Completed,C102648,Casey,Lopez,user2648@example.com,2023-01-14,Northeast,38370,P2199,Product 199,Apparel,1,16.94,16.94,9.59,6.06,1.29,Standard,6.06,0,16.94,23,0,0,,6.06,16.94,Northeast,Apparel,16.94,9.59,2.23
O300032,2023-09-05,Completed,C104155,Robin,Martinez,user4155@example.com,2024-05-17,Southwest,38572,P2031,Product 31,Electronics,1,91.19,91.19,41.51,3.027053942,39.65,Standard,5.68,0,171.11,176.79,0,0,,5.68,171.11,Southwest,Electronics,91.19,41.51,2.91
O300032,2023-09-05,Completed,C104155,Robin,Martinez,user4155@example.com,2024-05-17,Southwest,38572,P2145,Product 145,Apparel,1,79.92,79.92,45.98,2.652946058,26.6,Standard,5.68,0,171.11,176.79,0,0,,5.68,171.11,Southwest,Apparel,79.92,45.98,2.61
O300033,2023-02-05,Completed,C100819,Morgan,Brown,user819@example.com,2023-03-28,Northeast,97938,P2022,Product 22,Apparel,1,178.26,178.26,120.32,5.95,51.99,Standard,5.95,0,178.26,184.21,0,0,,5.95,178.26,Northeast,Apparel,178.26,120.32,1.66
O300034,2024-03-15,Completed,C101692,Alex,Lopez,user1692@example.com,2024-10-20,Midwest,39179,P2014,Product 14,Sports,1,26.49,26.49,15.54,7.01,3.94,Standard,7.01,0,26.49,33.5,0,0,,7.01,26.49,Midwest,Sports,26.49,15.54,4.31
O300035,2023-10-08,Completed,C100768,Morgan,Miller,user768@example.com,2024-06-11,South,52898,P2129,Product 129,Apparel,1,25.69,25.69,18.52,7.663779237,-0.49,Express,14.54,4.26,48.74,63.28,0,0,,14.54,48.74,South,Apparel,26.83,18.52,1.93
O300035,2023-10-08,Completed,C100768,Morgan,Miller,user768@example.com,2024-06-11,South,52898,P2053,Product 53,Toys,1,23.05,23.05,13.99,6.876220763,2.18,Express,14.54,4.26,48.74,63.28,0,0,,14.54,48.74,South,Toys,24.08,13.99,1.19
O300036,2024-06-18,Completed,C104844,Taylor,Miller,user4844@example.com,2024-09-29,Midwest,87831,P2082,Product 82,Sports,2,190.54,381.08,263.06,6.374490333,111.65,Standard,7.57,0,452.55,460.12,0,0,,7.57,452.55,Midwest,Sports,190.54,131.53,4.05
O300036,2024-06-18,Completed,C104844,Taylor,Miller,user4844@example.com,2024-09-29,Midwest,87831,P2174,Product 174,Electronics,1,50.29,50.29,32.2,0.841222627,17.25,Standard,7.57,0,452.55,460.12,0,0,,7.57,452.55,Midwest,Electronics,50.29,32.2,0.9
O300036,2024-06-18,Completed,C104844,Taylor,Miller,user4844@example.com,2024-09-29,Midwest,87831,P2127,Product 127,Toys,1,21.18,21.18,9.9,0.35428704,10.93,Standard,7.57,0,452.55,460.12,0,0,,7.57,452.55,Midwest,Toys,21.18,9.9,4.86
O300037,2023-10-16,Completed,C101338,Alex,Garcia,user1338@example.com,2023-10-11,Southwest,57136,P2025,Product 25,Toys,1,14.44,14.44,9.02,20.85,-13.12,Two-Day,20.85,0,14.44,35.29,0,0,,20.85,14.44,Southwest,Toys,14.44,9.02,1.33
O300038,2024-10-16,Completed,C102430,Sam,Miller,user2430@example.com,2024-02-17,West,42696,P2120,Product 120,Electronics,1,47.67,47.67,27.11,7.4,13.16,Standard,7.4,0,47.67,55.07,0,0,,7.4,47.67,West,Electronics,47.67,27.11,0.24
O300039,2024-06-12,Cancelled,C102919,Riley,Garcia,user2919@example.com,2023-11-27,Midwest,63214,P2046,Product 46,Electronics,1,57.95,0,40.49,5.85,-4.049,Standard,5.85,2.96,57.95,63.8,0,0,,5.85,57.95,Midwest,Electronics,59.72,40.49,2.89
O300040,2023-02-22,Completed,C100178,Casey,Rodriguez,user178@example.com,2023-11-24,South,84072,P2029,Product 29,Home,1,69.23,69.23,43.31,5.84501438,20.07,Express,8.22,0,97.36,105.58,0,0,,8.22,97.36,South,Home,69.23,43.31,1.4
O300040,2023-02-22,Completed,C100178,Casey,Rodriguez,user178@example.com,2023-11-24,South,84072,P2198,Product 198,Home,1,28.13,28.13,12.59,2.37498562,13.17,Express,8.22,0,97.36,105.58,0,0,,8.22,97.36,South,Home,28.13,12.59,1.82
O300041,2024-06-30,Completed,C100125,Avery,Jones,user125@example.com,2023-03-07,Northeast,89570,P2098,Product 98,Home,1,11.53,11.53,7.81,7.391025641,-3.67,Two-Day,27.5,0,42.9,70.4,0,0,,27.5,42.9,Northeast,Home,11.53,7.81,2.5
O300041,2024-06-30,Completed,C100125,Avery,Jones,user125@example.com,2023-03-07,Northeast,89570,P2139,Product 139,Sports,1,31.37,31.37,17.08,20.10897436,-5.82,Two-Day,27.5,0,42.9,70.4,0,0,,27.5,42.9,Northeast,Sports,31.37,17.08,2.02
O300042,2024-02-04,Completed,C104526,Cameron,Williams,user4526@example.com,2024-10-21,West,43117,P2174,Product 174,Electronics,1,50.29,50.29,32.2,4.570644416,13.52,Standard,7.08,0,77.9,84.98,0,0,,7.08,77.9,West,Electronics,50.29,32.2,0.9
O300042,2024-02-04,Completed,C104526,Cameron,Williams,user4526@example.com,2024-10-21,West,43117,P2095,Product 95,Apparel,1,14.93,14.93,9.28,1.356924262,4.29,Standard,7.08,0,77.9,84.98,0,0,,7.08,77.9,West,Apparel,14.93,9.28,1.88
O300042,2024-02-04,Completed,C104526,Cameron,Williams,user4526@example.com,2024-10-21,West,43117,P2192,Product 192,Toys,1,12.68,12.68,9.69,1.152431322,1.84,Standard,7.08,0,77.9,84.98,0,0,,7.08,77.9,West,Toys,12.68,9.69,1.91
O300043,2024-07-07,Completed,C101833,Robin,Smith,user1833@example.com,2024-06-17,West,49761,P2168,Product 168,Beauty,1,151.97,151.97,75.55,11.36,65.06,Express,11.36,0,151.97,163.33,0,0,,11.36,151.97,West,Beauty,151.97,75.55,2.92
O300044,2023-08-28,Completed,C104788,Casey,Johnson,user4788@example.com,2023-01-18,South,66899,P2008,Product 8,Apparel,1,25.79,25.79,17.84,4.5,3.45,Standard,4.5,0,25.79,30.29,0,0,,4.5,25.79,South,Apparel,25.79,17.84,3.45
O300045,2023-09-19,Completed,C100725,Jamie,Davis,user725@example.com,2023-12-13,West,98713,P2174,Product 174,Electronics,1,50.29,50.29,32.2,5.20057073,12.89,Express,9.73,0,94.09,103.82,0,0,,9.73,94.09,West,Electronics,50.29,32.2,0.9
O300045,2023-09-19,Completed,C100725,Jamie,Davis,user725@example.com,2023-12-13,West,98713,P2001,Product 1,Electronics,1,11.23,11.23,8.18,1.161312573,1.89,Express,9.73,0,94.09,103.82,0,0,,9.73,94.09,West,Electronics,11.23,8.18,2.49
O300045,2023-09-19,Completed,C100725,Jamie,Davis,user725@example.com,2023-12-13,West,98713,P2072,Product 72,Electronics,1,32.57,32.57,23.93,3.368116697,5.27,Express,9.73,0,94.09,103.82,0,0,,9.73,94.09,West,Electronics,32.57,23.93,4.91
O300046,2023-01-24,Completed,C102084,Robin,Brown,user2084@example.com,2023-02-21,Northeast,78676,P2146,Product 146,Home,2,36.27,72.54,50.16,1.296142944,21.08,Standard,3.24,0,181.33,184.57,0,0,,3.24,181.33,Northeast,Home,36.27,25.08,2
O300046,2023-01-24,Completed,C102084,Robin,Brown,user2084@example.com,2023-02-21,Northeast,78676,P2173,Product 173,Home,1,34.17,34.17,19.57,0.610548723,13.99,Standard,3.24,0,181.33,184.57,0,0,,3.24,181.33,Northeast,Home,34.17,19.57,1.33
O300046,2023-01-24,Completed,C102084,Robin,Brown,user2084@example.com,2023-02-21,Northeast,78676,P2165,Product 165,Electronics,1,74.62,74.62,38.07,1.333308333,35.22,Standard,3.24,0,181.33,184.57,0,0,,3.24,181.33,Northeast,Electronics,74.62,38.07,3.68
O300047,2023-02-17,Completed,C104322,Alex,Anderson,user4322@example.com,2024-08-31,South,52836,P2099,Product 99,Sports,1,184.77,184.77,77.16,5.81,101.8,Standard,5.81,0,184.77,190.58,0,0,,5.81,184.77,South,Sports,184.77,77.16,4.44
O300048,2024-05-07,Completed,C100414,Sam,Martinez,user414@example.com,2023-05-06,South,11929,P2043,Product 43,Sports,1,13.84,13.84,8.59,2.180408609,3.07,Express,14.42,0,91.53,105.95,0,0,,14.42,91.53,South,Sports,13.84,8.59,0.89
O300048,2024-05-07,Completed,C100414,Sam,Martinez,user414@example.com,2023-05-06,South,11929,P2071,Product 71,Sports,1,77.69,77.69,42.98,12.23959139,22.47,Express,14.42,0,91.53,105.95,0,0,,14.42,91.53,South,Sports,77.69,42.98,1.45
O300049,2023-05-15,Completed,C101909,Robin,Rodriguez,user1909@example.com,2024-10-09,Northeast,67251,P2134,Product 134,Toys,1,36.18,36.18,24.5,1.643316449,10.04,Standard,5.47,0,120.43,125.9,0,0,,5.47,120.43,Northeast,Toys,36.18,24.5,0.73
O300049,2023-05-15,Completed,C101909,Robin,Rodriguez,user1909@example.com,2024-10-09,Northeast,67251,P2075,Product 75,Toys,1,84.25,84.25,41.14,3.826683551,39.28,Standard,5.47,0,120.43,125.9,0,0,,5.47,120.43,Northeast,Toys,84.25,41.14,1.6
O300050,2023-02-10,Completed,C104654,Casey,Martinez,user4654@example.com,2024-03-25,Northeast,62919,P2076,Product 76,Home,1,173.86,173.86,114.65,6.52,52.69,Standard,6.52,0,173.86,180.38,0,0,,6.52,173.86,Northeast,Home,173.86,114.65,0.61
O300051,2024-10-06,Returned,C102237,Morgan,Brown,user2237@example.com,2024-04-05,South,11869,P2038,Product 38,Home,1,107.82,107.82,77.5,11.63,18.69,Express,11.63,0,107.82,119.45,0,0,,11.63,107.82,South,Home,107.82,77.5,2.58
O300052,2023-04-11,Completed,C102584,Sam,Miller,user2584@example.com,2023-03-05,West,95381,P2178,Product 178,Electronics,1,10.53,10.53,8.22,5.915293394,-3.61,Express,13.69,0,24.37,38.06,0,0,,13.69,24.37,West,Electronics,10.53,8.22,4.21
O300052,2023-04-11,Completed,C102584,Sam,Miller,user2584@example.com,2023-03-05,West,95381,P2043,Product 43,Sports,1,13.84,13.84,8.59,7.774706606,-2.52,Express,13.69,0,24.37,38.06,0,0,,13.69,24.37,West,Sports,13.84,8.59,0.89
O300053,2024-08-13,Completed,C104383,Robin,Hernandez,user4383@example.com,2024-09-23,Midwest,34592,P2199,Product 199,Apparel,1,16.94,16.94,9.59,12.91,-5.56,Express,12.91,0,16.94,29.85,0,0,,12.91,16.94,Midwest,Apparel,16.94,9.59,2.23
O300054,2023-07-05,Completed,C104722,Kendall,Lopez,user4722@example.com,2023-09-26,South,76064,P2140,Product 140,Home,1,178.96,178.96,137.7,4.02,37.24,Standard,4.02,4.82,178.96,182.98,0,0,,4.02,178.96,South,Home,188.02,137.7,0.99
O300055,2024-02-23,Completed,C101086,Drew,Wilson,user1086@example.com,2023-06-02,West,37785,P2034,Product 34,Home,1,34.78,34.78,21.79,4.19,8.8,Standard,4.19,0,34.78,38.97,0,0,,4.19,34.78,West,Home,34.78,21.79,2.39
O300056,2023-03-01,Completed,C101232,Avery,Williams,user1232@example.com,2024-02-09,Midwest,72806,P2080,Product 80,Apparel,1,209.51,209.51,139.29,3.28,66.94,Standard,3.28,0,209.51,212.79,0,0,,3.28,209.51,Midwest,Apparel,209.51,139.29,4.51
O300057,2023-05-08,Completed,C100356,Alex,Rodriguez,user356@example.com,2024-03-29,Northeast,18645,P2077,Product 77,Beauty,1,24.18,24.18,10.18,6.57,7.43,Standard,6.57,2.51,24.18,30.75,0,0,,6.57,24.18,Northeast,Beauty,24.8,10.18,4.4
O300058,2023-03-27,Returned,C102179,Drew,Garcia,user2179@example.com,2024-08-01,West,40539,P2057,Product 57,Electronics,1,15.69,15.69,11.61,3.318478664,0.76,Standard,6.84,0,32.34,39.18,0,0,,6.84,32.34,West,Electronics,15.69,11.61,1.53
O300058,2023-03-27,Returned,C102179,Drew,Garcia,user2179@example.com,2024-08-01,West,40539,P2023,Product 23,Apparel,1,16.65,16.65,9.66,3.521521336,3.47,Standard,6.84,0,32.34,39.18,0,0,,6.84,32.34,West,Apparel,16.65,9.66,1.73
O300059,2024-10-31,Completed,C104727,Taylor,Lopez,user4727@example.com,2024-05-25,South,97941,P2038,Product 38,Home,2,94.81,189.61,155,6.49,28.12,Standard,6.49,12.07,189.61,196.1,0,0,,6.49,189.61,South,Home,107.82,77.5,2.58
O300060,2024-05-23,Completed,C103184,Morgan,Miller,user3184@example.com,2024-12-07,Midwest,58500,P2193,Product 193,Toys,1,15.39,15.39,7.19,7.27,0.93,Standard,7.27,0,15.39,22.66,0,0,,7.27,15.39,Midwest,Toys,15.39,7.19,1.67
O300061,2024-09-07,Completed,C103150,Robin,Hernandez,user3150@example.com,2024-06-10,South,80889,P2196,Product 196,Sports,1,55.24,55.24,34.95,25.07,-4.78,Two-Day,25.07,0,55.24,80.31,0,0,,25.07,55.24,South,Sports,55.24,34.95,3.41
O300062,2024-04-15,Completed,C100446,Casey,Brown,user446@example.com,2023-04-29,South,44750,P2091,Product 91,Toys,2,76.39,152.78,80.18,9.2,63.4,Express,9.2,0,152.78,161.98,0,0,,9.2,152.78,South,Toys,76.39,40.09,0.29
O300063,2024-02-09,Completed,C100793,Chris,Martinez,user793@example.com,2023-01-28,Southwest,26285,P2017,Product 17,Electronics,1,26.88,26.88,16.49,10.91,-0.44,Express,10.91,8.49,26.88,37.79,26.88,1,Wrong item,10.91,26.88,Southwest,Electronics,29.37,16.49,1.27
O300064,2024-06-10,Completed,C104339,Alex,Wilson,user4339@example.com,2024-03-14,South,44527,P2096,Product 96,Beauty,2,63.46,126.92,85.46,13.08,28.38,Express,13.08,0,126.92,140,0,0,,13.08,126.92,South,Beauty,63.46,42.73,1.93
O300065,2023-07-12,Completed,C101819,Drew,Brown,user1819@example.com,2023-02-03,Midwest,71516,P2079,Product 79,Electronics,1,56.79,56.79,44.32,7.25,5.22,Standard,7.25,0,56.79,64.04,0,0,,7.25,56.79,Midwest,Electronics,56.79,44.32,2.91
O300066,2024-07-20,Completed,C104944,Morgan,Wilson,user4944@example.com,2023-09-21,West,48662,P2112,Product 112,Toys,1,38.83,38.83,22,6.65,10.18,Standard,6.65,0,38.83,45.48,0,0,,6.65,38.83,West,Toys,38.83,22,1.62
O300067,2023-05-24,Completed,C104087,Jamie,Smith,user4087@example.com,2023-02-08,Northeast,56335,P2074,Product 74,Apparel,1,137.21,137.21,113.38,6.07,17.76,Standard,6.07,13.2,137.21,143.28,0,0,,6.07,137.21,Northeast,Apparel,158.08,113.38,1.65
O300068,2023-07-23,Completed,C101372,Robin,Smith,user1372@example.com,2023-09-19,Northeast,63953,P2175,Product 175,Home,2,152.35,304.7,122.78,8.32112037,173.6,Two-Day,16.19,0,592.84,609.03,0,0,,16.19,592.84,Northeast,Home,152.35,61.39,2.05
O300068,2023-07-23,Completed,C101372,Robin,Smith,user1372@example.com,2023-09-19,Northeast,63953,P2165,Product 165,Electronics,2,74.62,149.24,76.14,4.0756285,69.02,Two-Day,16.19,0,592.84,609.03,0,0,,16.19,592.84,Northeast,Electronics,74.62,38.07,3.68
O300068,2023-07-23,Completed,C101372,Robin,Smith,user1372@example.com,2023-09-19,Northeast,63953,P2062,Product 62,Apparel,3,46.3,138.9,108.57,3.79325113,26.54,Two-Day,16.19,0,592.84,609.03,0,0,,16.19,592.84,Northeast,Apparel,46.3,36.19,4.62
O300069,2024-07-07,Completed,C104404,Hayden,Jones,user4404@example.com,2023-04-06,South,48930,P2100,Product 100,Beauty,1,63.28,63.28,34.68,5.87,22.73,Standard,5.87,0.12,63.28,69.15,0,0,,5.87,63.28,South,Beauty,63.36,34.68,2.99
O300070,2024-07-29,Completed,C102851,Jordan,Johnson,user2851@example.com,2024-12-18,Midwest,35257,P2015,Product 15,Home,1,47.01,47.01,35.64,10.41,0.96,Express,10.41,0,47.01,57.42,0,0,,10.41,47.01,Midwest,Home,47.01,35.64,0.34
O300071,2024-12-26,Completed,C102191,Robin,Smith,user2191@example.com,2023-09-04,West,54390,P2133,Product 133,Beauty,1,29.98,29.98,15.13,1.787306693,13.06,Standard,7.34,0,123.12,130.46,0,0,,7.34,123.12,West,Beauty,29.98,15.13,1.4
O300071,2024-12-26,Completed,C102191,Robin,Smith,user2191@example.com,2023-09-04,West,54390,P2028,Product 28,Sports,1,93.14,93.14,61.33,5.552693307,26.26,Standard,7.34,0,123.12,130.46,0,0,,7.34,123.12,West,Sports,93.14,61.33,2.74
O300072,2023-07-10,Completed,C101863,Taylor,Smith,user1863@example.com,2023-04-16,West,93114,P2141,Product 141,Apparel,1,37.74,37.74,29.63,1.124927519,6.99,Standard,5.12,0,171.77,176.89,0,0,,5.12,171.77,West,Apparel,37.74,29.63,3.05
O300072,2023-07-10,Completed,C101863,Taylor,Smith,user1863@example.com,2023-04-16,West,93114,P2056,Product 56,Electronics,1,134.03,134.03,73.14,3.995072481,56.89,Standard,5.12,0,171.77,176.89,0,0,,5.12,171.77,West,Electronics,134.03,73.14,4.02
